dataset,seed,method,tau,alpha,beta,AA,Macro_F1,OA,Kappa,NLL
Pingan,123,Original_LTLC,1.0,0.5,,0.7289311280020836,0.5958789844305364,0.8619944517447803,0.7957530100583893,4.350074727757951
Pingan,123,Original_LTLC,1.0,0.75,,0.7303294541792578,0.590332810391204,0.8605343845816907,0.7937885933113256,4.405930568104848
Pingan,123,Original_LTLC,1.0,1.0,,0.7290960948413412,0.5839751062533792,0.8584902905533655,0.7909689250395917,4.4701624511069715
Pingan,123,Original_LTLC,1.0,1.5,,0.7309201715999178,0.5765672219642397,0.8552489414513068,0.7864935150318453,4.6219114375468555
Pingan,123,Original_LTLC,1.0,2.0,,0.7297040263878468,0.5724699070659615,0.8516279748868448,0.7814205047579746,4.802217149768613
Pingan,123,Original_LTLC,1.25,0.0,,0.7290504249957899,0.6066717307066645,0.8636881296539641,0.7980909882686823,4.297257475188229
Pingan,123,Original_LTLC,1.25,0.25,,0.7298085102897787,0.5951494467028351,0.8615564315958534,0.7952144429191548,4.354366140936577
Pingan,123,Original_LTLC,1.25,0.5,,0.7301225766156556,0.5870123681975488,0.8595123375675281,0.7924395586606248,4.425333930865623
Pingan,123,Original_LTLC,1.25,0.75,,0.7302274367541912,0.581135943140837,0.857176230106585,0.7891887148547343,4.509136064133593
Pingan,123,Original_LTLC,1.25,1.0,,0.7313462275518514,0.5765052438687768,0.8554241495108775,0.7867712259502871,4.604913939812243
Pingan,123,Original_LTLC,1.25,1.5,,0.7306347811726387,0.5712083132475161,0.8507519345889911,0.7802443559856818,4.829634213496459
Pingan,123,Original_LTLC,1.25,2.0,,0.7336579371236123,0.5712938767744977,0.8465177398160315,0.7743864970785317,5.095136097205081
Pingan,123,Original_LTLC,1.5,0.0,,0.7300981631939574,0.5988026177406527,0.8620820557745656,0.7959903002215558,4.334483287581072
Pingan,123,Original_LTLC,1.5,0.25,,0.7308286341481341,0.5884078903533585,0.8595415389107899,0.7925102841490697,4.41456703333031
Pingan,123,Original_LTLC,1.5,0.5,,0.7320718593853592,0.580930248732877,0.8571178274200614,0.789159392818286,4.513306119218929
Pingan,123,Original_LTLC,1.5,0.75,,0.7319234599250448,0.5748001329003094,0.8547525186158563,0.7858922548533617,4.6292454117672035
Pingan,123,Original_LTLC,1.5,1.0,,0.7313199886552194,0.5714124089878424,0.8519491896627245,0.781979198315519,4.761185693205382
Pingan,123,Original_LTLC,1.5,1.5,,0.7330756386583672,0.5693971443643447,0.8465469411592933,0.77446788038362,5.0695883525912455
Pingan,123,Original_LTLC,1.5,2.0,,0.7321799033765051,0.5694765856142503,0.8416703168345744,0.7676896178464205,5.4318187305572305
Pingan,123,Original_LTLC,1.75,0.0,,0.7312960648331465,0.5928630391392733,0.8604467805519054,0.7937754758604837,4.377041926056227
Pingan,123,Original_LTLC,1.75,0.25,,0.7308424543797684,0.5817438983847149,0.8574974448824646,0.7897094472618958,4.483010824611172
Pingan,123,Original_LTLC,1.75,0.5,,0.7321985112862117,0.575177935214691,0.8547817199591181,0.7859624774696481,4.612938272037132
Pingan,123,Original_LTLC,1.75,0.75,,0.7321216295395997,0.5707648481090708,0.851598773543583,0.7815409919714897,4.764878981169375
Pingan,123,Original_LTLC,1.75,1.0,,0.7337658920996758,0.5700502702162588,0.848532632501095,0.7772849397348811,4.937411074167813
Pingan,123,Original_LTLC,1.75,1.5,,0.7340303892725684,0.5688091922885534,0.842692363848737,0.7691432164825186,5.339008744212481
Pingan,123,Original_LTLC,1.75,2.0,,0.724764256680691,0.5672946719517398,0.8355380347495985,0.7591398926736974,5.809651540400458
Pingan,123,Original_LTLC,2.0,0.0,,0.730394775177671,0.5867464708588288,0.8588699080157687,0.7916285623770762,4.424531403714795
Pingan,123,Original_LTLC,2.0,0.25,,0.732434035161169,0.5768520458920378,0.8554825521974011,0.7869752952273747,4.559108040614572
Pingan,123,Original_LTLC,2.0,0.5,,0.7328931395311205,0.5706128380836033,0.852007592349248,0.7821594755220721,4.7234123080489425
Pingan,123,Original_LTLC,2.0,0.75,,0.734570960947661,0.5695422592360213,0.8487370419039276,0.7776113161805358,4.915112802288567
Pingan,123,Original_LTLC,2.0,1.0,,0.7344453120559453,0.5680429546865068,0.8452620820557746,0.7727492321055263,5.132330286766241
Pingan,123,Original_LTLC,2.0,1.5,,0.7297628637576091,0.5666244758072861,0.838399766389254,0.7631960613278918,5.636206624343081
Pingan,123,Original_LTLC,2.0,2.0,,0.7166671488377416,0.5614196510086872,0.8292597459483136,0.7504063406234689,6.227248862550483
Pingan,123,Standard_LA,0.0,,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376
Pingan,123,Standard_LA,0.25,,,0.7187815882894505,0.6563419482448992,0.871222076215506,0.8077776813232427,4.209107140396675
Pingan,123,Standard_LA,0.5,,,0.7223193254834612,0.645063024388847,0.86982041173894,0.8060957728169459,4.221760469147993
Pingan,123,Standard_LA,0.75,,,0.7260659244557907,0.6301330606574932,0.8672506935319024,0.802758306227004,4.240609860592026
Pingan,123,Standard_LA,1.0,,,0.726398773687349,0.6168890368511368,0.8652942035333625,0.8001511624211888,4.265829233482758
Pingan,123,Standard_LA,1.25,,,0.7290504249957899,0.6066717307066645,0.8636881296539641,0.7980909882686823,4.297257475188229
Pingan,123,Standard_LA,1.5,,,0.7300981631939574,0.5988026177406527,0.8620820557745656,0.7959903002215558,4.334483287581072
Pingan,123,Standard_LA,1.75,,,0.7312960648331465,0.5928630391392733,0.8604467805519054,0.7937754758604837,4.377041926056227
Pingan,123,Standard_LA,2.0,,,0.730394775177671,0.5867464708588288,0.8588699080157687,0.7916285623770762,4.424531403714795
